"本院編號","項目名稱","英文名稱","項目金額","管制說明","差額","許可證字號","健保編號","數量","健保名稱","健保點數"
"X75-011","","CHEST P-A VIEW","250","","","　","32001C","1","胸腔檢查（包括各種角度部位之胸腔檢查）","200"
"X75-011G","胸部X光檢查費(愛滋防治替代治療計劃)","CHEST P-A VIEW (愛滋防治替代治療計劃)","200","","","　","E3020C","1","結核菌素檢測(TST)或胸部X光檢查費(愛滋防治替代治療計劃)","200"
"X75-011GA","胸部X光檢查費(愛滋防治替代治療計劃)","CHEST P-A VIEW (愛滋防治替代治療計劃)","200","","","　","E3039C","1","結核菌素檢測(TST)或胸部X光檢查費(愛滋防治替代治療計劃)","200"
"X75-011P","胸部X光檢查","CHEST P-A VIEW (CDC藥癮愛滋計畫)","200","須自費","","　","E3020C","1","結核菌素檢測(TST)或胸部X光檢查費(愛滋防治替代治療計劃)","200"
"X75-011R","一般X光片覆閱","CHEST P-A VIEW REVIEW","0","","","　","","","　",""
"G11-072","血糖測試","FINGER SUGAR","50","","","　","09005C","1","血液及體液葡萄糖","50"
"EMS-270","","ADMITTED TO DEPT ______DR______'S SERVIC","0","","","　","","","　",""
"CHG-093","","FINGER SUGAR","1","","","　","","","　",""
"M22-012","","EKG RESTING","300","","","　","18001C","1","心電圖","150"
"M22-012-Q","","EKG RESTING (麻醉科)","300","","","　","18001C","1","心電圖","150"
"M22-012-Y","","EKG RESTING (急診)","300","","","　","18001C","1","心電圖","150"
"M22-012-^","心電圖（家醫科院外體檢）","EKG RESTING（家醫科院外體檢）","150","限自費身份使用","","　","","","　",""
"M22-012P","心電圖(愛滋防治替代治療計劃)","EKG RESTING (CDC藥癮愛滋計畫、愛滋防治替代治療計劃)","150","","","　","E3033C","1","心電圖(愛滋防治替代治療計劃)","150"
"57010B","呼吸運動(次)","BREATHING EXERCISE/TIME","100","","","　","57010B","1","呼吸運動(次)","85"
"S52-021","","BREATHING EXERCISE/TIME","100","","","　","57010B","1","呼吸運動(次)","85"
"S52-021-1","呼吸運動(次)","BREATHING EXERCISE/TIME (胸腔內科)","100","","","　","57010B","1","呼吸運動(次)","85"
"S52-021-N","","BREATHING EXERCISE/TIME (復健科)","100","","","　","57010B","1","呼吸運動(次)","85"
"S52-021-Z","呼吸運動(次)","BREATHING EXERCISE/TIME","100","","","　","57010B","1","呼吸運動(次)","85"
"RPTM9","","STRENGTHENING TX",".01","","","　","PTM9","1","　","0"
"RPTM9-I","肌力訓練","STRENGTHENING TX","0","","","　","PTM9","1","　","0"
"RPTM9-J1","","STRENGTHENING TX",".01","","","　","PTM9","1","　","0"
"EMS-503","","DISCHARGE","0","","","　","","","　",""
"EMS-999"," 
回應物件 錯誤 'ASP 0101 : 80070057'

意外的錯誤

/query/income/income010.asp, 行0

函數傳回 |。
","英文名稱","項目金額 ","管制說明","差額","許可證字號","健保編號","數量","健保名稱","健保點數"
"X75-991","電腦斷層造影--無造影劑","COMPUTERED TOMOGRAPHY(C.T.) WITHOUT CONTRAST","4560","","","　","33070B","1","電腦斷層造影  －  無造影劑","3800"
"X75-991-#","電腦斷層造影--無造影劑","COMPUTERED TOMOGRAPHY(C.T.) WITHOUT CONTRAST(神經外科)","4560","","","　","33070B","1","電腦斷層造影  －  無造影劑","3800"
"X75-991-W","","C.T. WITHOUT ENHANCEMENT (放射治療科)","5000","","","　","33070B","1","電腦斷層造影  －  無造影劑","3800"
"X75-991R","電腦斷層造影--無造影劑-影像覆閱","COMPUTERED TOMOGRAPHY(C.T.) WITHOUT CONTRAST REVIEW","0","","","　","","","　",""
"M29-079","","DOPSCAN & B-MODE REAL TIME SONOGRAM","3000","","","　","18010B","1","頸動脈聲圖檢查","900"
"M29-079","","DOPSCAN & B-MODE REAL TIME SONOGRAM","3000","","","　","20013B","1","頸動脈超音波檢查","800"
"M29-079-0","頸動脈超音波檢查","DOPSCAN & B-MODE REAL TIME SONOGRAM(健康檢查科)","3000","限自費身份使用","","　","","","　",""
"E80-106*","","E.K.G. (ELECTROCARDIOGRAPHY)","390","","","　","18001C","1","心電圖","150"
"EMS-002","","ADMISSION","0","","","　","","","　",""
"EMS-001","","ABDOMINAL ECHO","0","","","　","","","　",""
"ROT5","","ADL TRAINING",".01","","","　","OT5","1","　","0"
"ROT5-I","日常生活訓練","ADL TRAINING","0","","","　","OT5","1","　","0"
"ROT5-J1","","ADL TRAINING",".01","","","　","OT5","1","　","0"
"M29-088","","COLOR-CODED TRANSCRANIAL ULTRASONOGRAPHY","2500","","","　","20026B","1","穿顱都卜勒超音波檢查(顱內血管超音波檢查) 限神精科及放射科專科醫師使用","2000"
"M29-088-#","穿顱都卜勒超音波檢查","TRANSCRANIAL DOPPLER SONOGRAPHY","2500","","","　","20026B","1","穿顱都卜勒超音波檢查(顱內血管超音波檢查) 限神精科及放射科專科醫師使用","2000"
"M29-088-Z","","COLOR-CODED TRANSCRANIAL ULTRASONOGRAPHY (小兒科)","3500","","","　","20026B","1","穿顱都卜勒超音波檢查(顱內血管超音波檢查) 限神精科及放射科專科醫師使用","2000"
"CHG-068","","IV WITH NS 500ML","1","","","　","","","　",""
"EMS-273","","VITAL SIGNS: Q2H/Q4H/Q8H/BID","0","","","　","","","　",""
"PGC004M     1PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A006271100","1","PARAN TABLETS ACETAMINOPHEN (=PARACETAMOL)",".5"
"PGC004M     2PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A006271100","1","PARAN TABLETS ACETAMINOPHEN (=PARACETAMOL)",".5"
"PGC004M RA1 1PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A032320100","1","ACETAL TABLET 500MG (ACETAMINOPHEN) ""PURZER""",".45"
"PGC004M RA1 2PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A032320100","1","ACETAL TABLET 500MG (ACETAMINOPHEN) ""PURZER""",".45"
"PGC004M XH1 1PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A022122100","1","LACTAM TABLETS (ACETAMINOPHEN) """"SINPHAR ACETAMINOPHEN (=PARACETAMOL)",".37"
"PGC004M XH1 2PC","ACETAMINOPHEN 500MG/TAB","ACETAMINOPHEN 500MG/TAB","2","","","　","A022122100","1","LACTAM TABLETS (ACETAMINOPHEN) """"SINPHAR ACETAMINOPHEN (=PARACETAMOL)",".37"
"ROT3","","BALANCE TRAINING",".01","","","　","OT3","1","　","0"
"ROT3-I","坐站平衡訓練","BALANCE TRAINING","0","","","　","OT3","1","　","0"
"ROT3-J1","","BALANCE TRAINING",".01","","","　","OT3","1","　","0"
"CHG-007","","IV WITH N/S 1000ML","1","","","　","","","　",""
"57021C","蒸氣或噴霧吸入治療─每次","STEAM OR NEBULIZATION INHALATION,TIME","80","","","　","57021C","1","蒸氣或噴霧吸入治療─每次","40"
"S52-073","","VAPOR INHALATION,PER TIME","80","","","　","57021C","1","蒸氣或噴霧吸入治療─每次","40"
"S52-073-1","蒸氣或噴霧吸入治療─每次","VAPOR INHALATION,PER TIME (胸腔內科)","80","","","　","57021C","1","蒸氣或噴霧吸入治療─每次","40"
"EMS-066","","CONSULT GS","0","","","　","","","　",""
"M22-060","","ECHOCARDIOGRAPHY WITH DOPPLER AND COLOR","4100","","","　","18007B","1","杜卜勒氏彩色心臟血流圖","2000"
"M22-060","","ECHOCARDIOGRAPHY WITH DOPPLER AND COLOR","4100","","","　","18005C","1","超音波心臟圖 單面、雙面","1200"
